gi|50118966|ref|YP_048133.1|	gi|188532166|ref|YP_001905963.1|
gi|50121110|ref|YP_050277.1|	gi|188534023|ref|YP_001907820.1|
gi|50121111|ref|YP_050278.1|	gi|188534021|ref|YP_001907818.1|
gi|50121112|ref|YP_050279.1|	gi|188534020|ref|YP_001907817.1|
gi|50121113|ref|YP_050280.1|	gi|188534019|ref|YP_001907816.1|
gi|50121114|ref|YP_050281.1|	gi|188534018|ref|YP_001907815.1|
gi|50121115|ref|YP_050282.1|	gi|188534017|ref|YP_001907814.1|
gi|50121116|ref|YP_050283.1|	gi|188534016|ref|YP_001907813.1|
gi|50121117|ref|YP_050284.1|	gi|188534015|ref|YP_001907812.1|
gi|50121118|ref|YP_050285.1|	gi|188534014|ref|YP_001907811.1|
gi|50121119|ref|YP_050286.1|	gi|188534013|ref|YP_001907810.1|
gi|50121120|ref|YP_050287.1|	gi|188534012|ref|YP_001907809.1|
gi|50121121|ref|YP_050288.1|	gi|188534011|ref|YP_001907808.1|
gi|50121122|ref|YP_050289.1|	gi|188534917|ref|YP_001908714.1|
gi|50121123|ref|YP_050290.1|	gi|188534551|ref|YP_001908348.1|
gi|50121124|ref|YP_050291.1|	gi|188534644|ref|YP_001908441.1|
gi|50121125|ref|YP_050292.1|	gi|188534848|ref|YP_001908645.1|
gi|50121126|ref|YP_050293.1|	gi|188534670|ref|YP_001908467.1|
gi|50121127|ref|YP_050294.1|	gi|188532538|ref|YP_001906335.1|
gi|50121128|ref|YP_050295.1|	gi|188533620|ref|YP_001907417.1|
gi|50121129|ref|YP_050296.1|	gi|188533823|ref|YP_001907620.1|
gi|50121130|ref|YP_050297.1|	gi|188534731|ref|YP_001908528.1|
gi|50121131|ref|YP_050298.1|	gi|188534246|ref|YP_001908043.1|
gi|50121132|ref|YP_050299.1|	gi|188533827|ref|YP_001907624.1|
gi|50121133|ref|YP_050300.1|	gi|188533828|ref|YP_001907625.1|
gi|50121134|ref|YP_050301.1|	gi|188534416|ref|YP_001908213.1|
gi|50121135|ref|YP_050302.1|	gi|188535398|ref|YP_001909195.1|
gi|50121136|ref|YP_050303.1|	gi|188535375|ref|YP_001909172.1|
gi|50121137|ref|YP_050304.1|	gi|188533175|ref|YP_001906972.1|
gi|50121138|ref|YP_050305.1|	gi|188534363|ref|YP_001908160.1|
gi|50121139|ref|YP_050306.1|	gi|188534362|ref|YP_001908159.1|
gi|50121140|ref|YP_050307.1|	gi|188534361|ref|YP_001908158.1|
gi|50121141|ref|YP_050308.1|	gi|188534360|ref|YP_001908157.1|
gi|50121142|ref|YP_050309.1|	gi|188534359|ref|YP_001908156.1|
gi|50121143|ref|YP_050310.1|	gi|188533845|ref|YP_001907642.1|
gi|50121144|ref|YP_050311.1|	gi|188533846|ref|YP_001907643.1|
gi|50121145|ref|YP_050312.1|	gi|188533847|ref|YP_001907644.1|
gi|50121146|ref|YP_050313.1|	gi|188534041|ref|YP_001907838.1|
gi|50121147|ref|YP_050314.1|	gi|188534522|ref|YP_001908319.1|
gi|50121148|ref|YP_050315.1|	gi|188535246|ref|YP_001909043.1|
gi|50121149|ref|YP_050316.1|	gi|188534212|ref|YP_001908009.1|
gi|50121150|ref|YP_050317.1|	gi|188535016|ref|YP_001908813.1|
gi|50121151|ref|YP_050318.1|	gi|188533233|ref|YP_001907030.1|
gi|50121152|ref|YP_050319.1|	gi|188535443|ref|YP_001909240.1|
gi|50121153|ref|YP_050320.1|	gi|188533606|ref|YP_001907403.1|
gi|50121154|ref|YP_050321.1|	gi|188534929|ref|YP_001908726.1|
gi|50121155|ref|YP_050322.1|	gi|188533449|ref|YP_001907246.1|
gi|50121156|ref|YP_050323.1|	gi|188533239|ref|YP_001907036.1|
gi|50121157|ref|YP_050324.1|	gi|188534061|ref|YP_001907858.1|
gi|50121158|ref|YP_050325.1|	gi|188533693|ref|YP_001907490.1|
gi|50121159|ref|YP_050326.1|	gi|188533870|ref|YP_001907667.1|
gi|50121160|ref|YP_050327.1|	gi|188534450|ref|YP_001908247.1|
gi|50121161|ref|YP_050328.1|	gi|188535282|ref|YP_001909079.1|
gi|50121162|ref|YP_050329.1|	gi|188535030|ref|YP_001908827.1|
gi|50121163|ref|YP_050330.1|	gi|188532986|ref|YP_001906783.1|
gi|50121164|ref|YP_050331.1|	gi|188532177|ref|YP_001905974.1|
gi|50121165|ref|YP_050332.1|	gi|188532600|ref|YP_001906397.1|
gi|50121166|ref|YP_050333.1|	gi|188533411|ref|YP_001907208.1|
gi|50121167|ref|YP_050334.1|	gi|188532922|ref|YP_001906719.1|
gi|50121168|ref|YP_050335.1|	gi|188534326|ref|YP_001908123.1|
gi|50121169|ref|YP_050336.1|	gi|188535359|ref|YP_001909156.1|
gi|50121170|ref|YP_050337.1|	gi|188533449|ref|YP_001907246.1|
gi|50121171|ref|YP_050338.1|	gi|188532600|ref|YP_001906397.1|
gi|50121172|ref|YP_050339.1|	gi|188532601|ref|YP_001906398.1|
gi|50121173|ref|YP_050340.1|	gi|188534536|ref|YP_001908333.1|
gi|50121174|ref|YP_050341.1|	gi|188533662|ref|YP_001907459.1|
gi|50121175|ref|YP_050342.1|	gi|188535517|ref|YP_001909314.1|
gi|50121176|ref|YP_050343.1|	gi|188534136|ref|YP_001907933.1|
gi|50121177|ref|YP_050344.1|	gi|188534137|ref|YP_001907934.1|
gi|50121178|ref|YP_050345.1|	gi|188533496|ref|YP_001907293.1|
gi|50121179|ref|YP_050346.1|	gi|188532918|ref|YP_001906715.1|
gi|50121180|ref|YP_050347.1|	gi|188533889|ref|YP_001907686.1|
gi|50121181|ref|YP_050348.1|	gi|188533890|ref|YP_001907687.1|
gi|50121182|ref|YP_050349.1|	gi|188533365|ref|YP_001907162.1|
gi|50121183|ref|YP_050350.1|	gi|188533891|ref|YP_001907688.1|
gi|50121184|ref|YP_050351.1|	gi|188533892|ref|YP_001907689.1|
gi|50121185|ref|YP_050352.1|	gi|188533895|ref|YP_001907692.1|
gi|50121186|ref|YP_050353.1|	gi|188533896|ref|YP_001907693.1|
gi|50121187|ref|YP_050354.1|	gi|188533897|ref|YP_001907694.1|
gi|50121188|ref|YP_050355.1|	gi|188533898|ref|YP_001907695.1|
gi|50121189|ref|YP_050356.1|	gi|188533900|ref|YP_001907697.1|
gi|50121190|ref|YP_050357.1|	gi|188533901|ref|YP_001907698.1|
gi|50121191|ref|YP_050358.1|	gi|188534933|ref|YP_001908730.1|
gi|50121192|ref|YP_050359.1|	gi|188533902|ref|YP_001907699.1|
gi|50121193|ref|YP_050360.1|	gi|188532274|ref|YP_001906071.1|
gi|50121194|ref|YP_050361.1|	gi|188533903|ref|YP_001907700.1|
gi|50121195|ref|YP_050362.1|	gi|188532290|ref|YP_001906087.1|
gi|50121196|ref|YP_050363.1|	gi|188533251|ref|YP_001907048.1|
gi|161501875|ref|YP_050364.2|	gi|188533904|ref|YP_001907701.1|
gi|50121198|ref|YP_050365.1|	gi|188533905|ref|YP_001907702.1|
gi|50121199|ref|YP_050366.1|	gi|188533906|ref|YP_001907703.1|
gi|50121200|ref|YP_050367.1|	gi|188533907|ref|YP_001907704.1|
gi|50121200|ref|YP_050367.1|	gi|188533907|ref|YP_001907704.1|
gi|50121201|ref|YP_050368.1|	gi|188533908|ref|YP_001907705.1|
gi|50121202|ref|YP_050369.1|	gi|188533909|ref|YP_001907706.1|
gi|50121203|ref|YP_050370.1|	gi|188533910|ref|YP_001907707.1|
gi|50121204|ref|YP_050371.1|	gi|188533912|ref|YP_001907709.1|
gi|50121205|ref|YP_050372.1|	gi|188533913|ref|YP_001907710.1|
gi|50121206|ref|YP_050373.1|	gi|188533914|ref|YP_001907711.1|
gi|50121207|ref|YP_050374.1|	gi|188533915|ref|YP_001907712.1|
gi|50121208|ref|YP_050375.1|	gi|188533916|ref|YP_001907713.1|
gi|50121209|ref|YP_050376.1|	gi|188533917|ref|YP_001907714.1|
gi|50121210|ref|YP_050377.1|	gi|188533918|ref|YP_001907715.1|
gi|50121211|ref|YP_050378.1|	gi|188533922|ref|YP_001907719.1|
gi|50121212|ref|YP_050379.1|	gi|188533756|ref|YP_001907553.1|
gi|50121213|ref|YP_050380.1|	gi|188533390|ref|YP_001907187.1|
gi|50121214|ref|YP_050381.1|	gi|188533755|ref|YP_001907552.1|
gi|50121215|ref|YP_050382.1|	gi|188535238|ref|YP_001909035.1|
gi|229220652|ref|YP_050383.2|	gi|188533754|ref|YP_001907551.1|
gi|50121217|ref|YP_050384.1|	gi|188533753|ref|YP_001907550.1|
gi|50121218|ref|YP_050385.1|	gi|188535070|ref|YP_001908867.1|
gi|50121219|ref|YP_050386.1|	gi|188533752|ref|YP_001907549.1|
gi|50121220|ref|YP_050387.1|	gi|188533748|ref|YP_001907545.1|
gi|50121221|ref|YP_050388.1|	gi|188533747|ref|YP_001907544.1|
gi|50121222|ref|YP_050389.1|	gi|188535501|ref|YP_001909298.1|
gi|50121223|ref|YP_050390.1|	gi|188534677|ref|YP_001908474.1|
gi|50121224|ref|YP_050391.1|	gi|188533746|ref|YP_001907543.1|
gi|50121225|ref|YP_050392.1|	gi|188533745|ref|YP_001907542.1|
gi|161501874|ref|YP_050393.2|	gi|188533744|ref|YP_001907541.1|
gi|50121227|ref|YP_050394.1|	gi|188533743|ref|YP_001907540.1|
gi|50121228|ref|YP_050395.1|	gi|188533742|ref|YP_001907539.1|
gi|50121229|ref|YP_050396.1|	gi|188533741|ref|YP_001907538.1|
gi|50121230|ref|YP_050397.1|	gi|188533533|ref|YP_001907330.1|
gi|50121231|ref|YP_050398.1|	gi|188533739|ref|YP_001907536.1|
gi|50121232|ref|YP_050399.1|	gi|188534892|ref|YP_001908689.1|
gi|50121233|ref|YP_050400.1|	gi|188533738|ref|YP_001907535.1|
gi|50121234|ref|YP_050401.1|	gi|188532702|ref|YP_001906499.1|
gi|50121235|ref|YP_050402.1|	gi|188535546|ref|YP_001909343.1|
gi|50121236|ref|YP_050403.1|	gi|188533944|ref|YP_001907741.1|
gi|50121237|ref|YP_050404.1|	gi|188532383|ref|YP_001906180.1|
gi|50121238|ref|YP_050405.1|	gi|188533113|ref|YP_001906910.1|
gi|50121239|ref|YP_050406.1|	gi|188533410|ref|YP_001907207.1|
gi|50121240|ref|YP_050407.1|	gi|188534013|ref|YP_001907810.1|
gi|50121241|ref|YP_050408.1|	gi|188533737|ref|YP_001907534.1|
gi|50121242|ref|YP_050409.1|	gi|188533736|ref|YP_001907533.1|
gi|50121243|ref|YP_050410.1|	gi|188533735|ref|YP_001907532.1|
gi|50121244|ref|YP_050411.1|	gi|188533734|ref|YP_001907531.1|
gi|50121245|ref|YP_050412.1|	gi|188533607|ref|YP_001907404.1|
gi|50121246|ref|YP_050413.1|	gi|188533732|ref|YP_001907529.1|
gi|50121247|ref|YP_050414.1|	gi|188533731|ref|YP_001907528.1|
gi|50121248|ref|YP_050415.1|	gi|188533730|ref|YP_001907527.1|
gi|50121249|ref|YP_050416.1|	gi|188533729|ref|YP_001907526.1|
gi|50121250|ref|YP_050417.1|	gi|188533728|ref|YP_001907525.1|
gi|50121251|ref|YP_050418.1|	gi|188533727|ref|YP_001907524.1|
gi|50121252|ref|YP_050419.1|	gi|188533726|ref|YP_001907523.1|
gi|50121253|ref|YP_050420.1|	gi|188533726|ref|YP_001907523.1|
gi|50121254|ref|YP_050421.1|	gi|188533723|ref|YP_001907520.1|
gi|50121255|ref|YP_050422.1|	gi|188533722|ref|YP_001907519.1|
gi|50121256|ref|YP_050423.1|	gi|188533721|ref|YP_001907518.1|
gi|50121257|ref|YP_050424.1|	gi|188533718|ref|YP_001907515.1|
gi|50121258|ref|YP_050425.1|	gi|188533717|ref|YP_001907514.1|
gi|50121259|ref|YP_050426.1|	gi|188532811|ref|YP_001906608.1|
gi|50121260|ref|YP_050427.1|	gi|188533716|ref|YP_001907513.1|
gi|50121261|ref|YP_050428.1|	gi|188533715|ref|YP_001907512.1|
gi|50121262|ref|YP_050429.1|	gi|188532210|ref|YP_001906007.1|
gi|50121263|ref|YP_050430.1|	gi|188533711|ref|YP_001907508.1|
gi|50121264|ref|YP_050431.1|	gi|188533710|ref|YP_001907507.1|
gi|50121265|ref|YP_050432.1|	gi|188533709|ref|YP_001907506.1|
gi|50121266|ref|YP_050433.1|	gi|188533708|ref|YP_001907505.1|
gi|50121267|ref|YP_050434.1|	gi|188533707|ref|YP_001907504.1|
gi|50121268|ref|YP_050435.1|	gi|188533706|ref|YP_001907503.1|
gi|50121269|ref|YP_050436.1|	gi|188533705|ref|YP_001907502.1|
gi|50121270|ref|YP_050437.1|	gi|188533704|ref|YP_001907501.1|
gi|50121271|ref|YP_050438.1|	gi|188533703|ref|YP_001907500.1|
gi|50121272|ref|YP_050439.1|	gi|188533701|ref|YP_001907498.1|
gi|50121273|ref|YP_050440.1|	gi|188533700|ref|YP_001907497.1|
gi|50121274|ref|YP_050441.1|	gi|188533699|ref|YP_001907496.1|
gi|50121275|ref|YP_050442.1|	gi|188533698|ref|YP_001907495.1|
gi|50121276|ref|YP_050443.1|	gi|188533697|ref|YP_001907494.1|
gi|50121277|ref|YP_050444.1|	gi|188533696|ref|YP_001907493.1|
gi|50121278|ref|YP_050445.1|	gi|188533688|ref|YP_001907485.1|
gi|50121279|ref|YP_050446.1|	gi|188533686|ref|YP_001907483.1|
gi|50121280|ref|YP_050447.1|	gi|188532259|ref|YP_001906056.1|
gi|50121281|ref|YP_050448.1|	gi|188532888|ref|YP_001906685.1|
gi|50121282|ref|YP_050449.1|	gi|188534893|ref|YP_001908690.1|
gi|50121283|ref|YP_050450.1|	gi|188534625|ref|YP_001908422.1|
gi|50121284|ref|YP_050451.1|	gi|188532470|ref|YP_001906267.1|
gi|50121285|ref|YP_050452.1|	gi|188533592|ref|YP_001907389.1|
gi|50121286|ref|YP_050453.1|	gi|188533401|ref|YP_001907198.1|
gi|50121287|ref|YP_050454.1|	gi|188533685|ref|YP_001907482.1|
gi|50121288|ref|YP_050455.1|	gi|188533684|ref|YP_001907481.1|
gi|50121289|ref|YP_050456.1|	gi|188534639|ref|YP_001908436.1|
gi|50121290|ref|YP_050457.1|	gi|188533683|ref|YP_001907480.1|
gi|50121291|ref|YP_050458.1|	gi|188533647|ref|YP_001907444.1|
gi|50121292|ref|YP_050459.1|	gi|188534257|ref|YP_001908054.1|
gi|50121292|ref|YP_050459.1|	gi|188534257|ref|YP_001908054.1|
gi|50121293|ref|YP_050460.1|	gi|188533682|ref|YP_001907479.1|
gi|50121294|ref|YP_050461.1|	gi|188533681|ref|YP_001907478.1|
gi|50121295|ref|YP_050462.1|	gi|188533680|ref|YP_001907477.1|
gi|50121296|ref|YP_050463.1|	gi|188533679|ref|YP_001907476.1|
gi|50121297|ref|YP_050464.1|	gi|188533678|ref|YP_001907475.1|
gi|50121298|ref|YP_050465.1|	gi|188533677|ref|YP_001907474.1|
gi|50121299|ref|YP_050466.1|	gi|188533676|ref|YP_001907473.1|
gi|50121300|ref|YP_050467.1|	gi|188533675|ref|YP_001907472.1|
gi|50121301|ref|YP_050468.1|	gi|188533674|ref|YP_001907471.1|
gi|50121302|ref|YP_050469.1|	gi|188533673|ref|YP_001907470.1|
gi|50121303|ref|YP_050470.1|	gi|188533672|ref|YP_001907469.1|
gi|50121304|ref|YP_050471.1|	gi|188533671|ref|YP_001907468.1|
gi|50121305|ref|YP_050472.1|	gi|188533670|ref|YP_001907467.1|
gi|50121306|ref|YP_050473.1|	gi|188533669|ref|YP_001907466.1|
gi|50121307|ref|YP_050474.1|	gi|188533668|ref|YP_001907465.1|
gi|50121308|ref|YP_050475.1|	gi|188533667|ref|YP_001907464.1|
gi|50121309|ref|YP_050476.1|	gi|188535174|ref|YP_001908971.1|
gi|50121310|ref|YP_050477.1|	gi|188534691|ref|YP_001908488.1|
gi|50121311|ref|YP_050478.1|	gi|188535516|ref|YP_001909313.1|
gi|50121312|ref|YP_050479.1|	gi|188533666|ref|YP_001907463.1|
gi|50121313|ref|YP_050480.1|	gi|188533184|ref|YP_001906981.1|
gi|50121314|ref|YP_050481.1|	gi|188532782|ref|YP_001906579.1|
gi|50121315|ref|YP_050482.1|	gi|188533247|ref|YP_001907044.1|
gi|50121316|ref|YP_050483.1|	gi|188535024|ref|YP_001908821.1|
gi|50121317|ref|YP_050484.1|	gi|188535486|ref|YP_001909283.1|
gi|50121318|ref|YP_050485.1|	gi|188533665|ref|YP_001907462.1|
gi|50121319|ref|YP_050486.1|	gi|188533664|ref|YP_001907461.1|
gi|50121320|ref|YP_050487.1|	gi|188533549|ref|YP_001907346.1|
gi|50121321|ref|YP_050488.1|	gi|188533548|ref|YP_001907345.1|
gi|50121322|ref|YP_050489.1|	gi|188533547|ref|YP_001907344.1|
gi|50121323|ref|YP_050490.1|	gi|188533546|ref|YP_001907343.1|
gi|50121324|ref|YP_050491.1|	gi|188533980|ref|YP_001907777.1|
gi|50121325|ref|YP_050492.1|	gi|188533981|ref|YP_001907778.1|
gi|50121326|ref|YP_050493.1|	gi|188533982|ref|YP_001907779.1|
gi|50121327|ref|YP_050494.1|	gi|188534105|ref|YP_001907902.1|
gi|50121328|ref|YP_050495.1|	gi|188535090|ref|YP_001908887.1|
gi|50121329|ref|YP_050496.1|	gi|188535012|ref|YP_001908809.1|
gi|50121330|ref|YP_050497.1|	gi|188533808|ref|YP_001907605.1|
gi|50121331|ref|YP_050498.1|	gi|188535374|ref|YP_001909171.1|
gi|50121332|ref|YP_050499.1|	gi|188535373|ref|YP_001909170.1|
gi|50121333|ref|YP_050500.1|	gi|188535372|ref|YP_001909169.1|
gi|50121334|ref|YP_050501.1|	gi|188535375|ref|YP_001909172.1|
gi|50121335|ref|YP_050502.1|	gi|188533022|ref|YP_001906819.1|
gi|50121336|ref|YP_050503.1|	gi|188535453|ref|YP_001909250.1|
gi|50121337|ref|YP_050504.1|	gi|188533983|ref|YP_001907780.1|
gi|50121338|ref|YP_050505.1|	gi|188533984|ref|YP_001907781.1|
gi|50121339|ref|YP_050506.1|	gi|188533985|ref|YP_001907782.1|
gi|50121340|ref|YP_050507.1|	gi|188533987|ref|YP_001907784.1|
gi|50121341|ref|YP_050508.1|	gi|188532644|ref|YP_001906441.1|
gi|50121342|ref|YP_050509.1|	gi|188534266|ref|YP_001908063.1|
gi|50121343|ref|YP_050510.1|	gi|188534431|ref|YP_001908228.1|
gi|50121344|ref|YP_050511.1|	gi|188533971|ref|YP_001907768.1|
gi|50121345|ref|YP_050512.1|	gi|188533972|ref|YP_001907769.1|
gi|50121346|ref|YP_050513.1|	gi|188533973|ref|YP_001907770.1|
gi|50121347|ref|YP_050514.1|	gi|188533974|ref|YP_001907771.1|
gi|50121348|ref|YP_050515.1|	gi|188533975|ref|YP_001907772.1|
gi|50121349|ref|YP_050516.1|	gi|188533976|ref|YP_001907773.1|
gi|50121350|ref|YP_050517.1|	gi|188533977|ref|YP_001907774.1|
gi|50121351|ref|YP_050518.1|	gi|188532959|ref|YP_001906756.1|
gi|50121352|ref|YP_050519.1|	gi|188533661|ref|YP_001907458.1|
gi|50121353|ref|YP_050520.1|	gi|188534686|ref|YP_001908483.1|
gi|50121354|ref|YP_050521.1|	gi|188534420|ref|YP_001908217.1|
gi|50121354|ref|YP_050521.1|	gi|188534420|ref|YP_001908217.1|
gi|50121355|ref|YP_050522.1|	gi|188533659|ref|YP_001907456.1|
gi|50121356|ref|YP_050523.1|	gi|188535371|ref|YP_001909168.1|
gi|50121357|ref|YP_050524.1|	gi|188535375|ref|YP_001909172.1|
gi|50121358|ref|YP_050525.1|	gi|188533270|ref|YP_001907067.1|
gi|50121359|ref|YP_050526.1|	gi|188533261|ref|YP_001907058.1|
gi|50121360|ref|YP_050527.1|	gi|188533262|ref|YP_001907059.1|
gi|50121361|ref|YP_050528.1|	gi|188535180|ref|YP_001908977.1|
gi|50121361|ref|YP_050528.1|	gi|188535180|ref|YP_001908977.1|
gi|50121361|ref|YP_050528.1|	gi|188535180|ref|YP_001908977.1|
gi|50121362|ref|YP_050529.1|	gi|188533080|ref|YP_001906877.1|
gi|50121363|ref|YP_050530.1|	gi|188534357|ref|YP_001908154.1|
gi|50121364|ref|YP_050531.1|	gi|188532192|ref|YP_001905989.1|
gi|50121365|ref|YP_050532.1|	gi|188533914|ref|YP_001907711.1|
gi|50121365|ref|YP_050532.1|	gi|188533914|ref|YP_001907711.1|
gi|50121366|ref|YP_050533.1|	gi|188534083|ref|YP_001907880.1|
gi|50121367|ref|YP_050534.1|	gi|188534084|ref|YP_001907881.1|
gi|50121368|ref|YP_050535.1|	gi|188534098|ref|YP_001907895.1|
gi|50121369|ref|YP_050536.1|	gi|188534099|ref|YP_001907896.1|
gi|50121370|ref|YP_050537.1|	gi|188534100|ref|YP_001907897.1|
gi|50121371|ref|YP_050538.1|	gi|188534101|ref|YP_001907898.1|
gi|50121372|ref|YP_050539.1|	gi|188534102|ref|YP_001907899.1|
gi|50121373|ref|YP_050540.1|	gi|188534103|ref|YP_001907900.1|
gi|50121374|ref|YP_050541.1|	gi|188534104|ref|YP_001907901.1|
gi|50121375|ref|YP_050542.1|	gi|188533836|ref|YP_001907633.1|
gi|50121376|ref|YP_050543.1|	gi|188534303|ref|YP_001908100.1|
gi|50121377|ref|YP_050544.1|	gi|188534302|ref|YP_001908099.1|
gi|50121378|ref|YP_050545.1|	gi|188534301|ref|YP_001908098.1|
gi|50121379|ref|YP_050546.1|	gi|188534304|ref|YP_001908101.1|
gi|50121380|ref|YP_050547.1|	gi|188534416|ref|YP_001908213.1|
gi|50121381|ref|YP_050548.1|	gi|188534586|ref|YP_001908383.1|
gi|50121382|ref|YP_050549.1|	gi|188532215|ref|YP_001906012.1|
gi|50121383|ref|YP_050550.1|	gi|188534396|ref|YP_001908193.1|
gi|50121384|ref|YP_050551.1|	gi|188534677|ref|YP_001908474.1|
gi|50121385|ref|YP_050552.1|	gi|188533658|ref|YP_001907455.1|
gi|50121386|ref|YP_050553.1|	gi|188533657|ref|YP_001907454.1|
gi|50121387|ref|YP_050554.1|	gi|188533656|ref|YP_001907453.1|
gi|50121388|ref|YP_050555.1|	gi|188533655|ref|YP_001907452.1|
gi|50121389|ref|YP_050556.1|	gi|188533654|ref|YP_001907451.1|
gi|50121390|ref|YP_050557.1|	gi|188533653|ref|YP_001907450.1|
gi|50121391|ref|YP_050558.1|	gi|188534197|ref|YP_001907994.1|
gi|50121392|ref|YP_050559.1|	gi|188534870|ref|YP_001908667.1|
gi|50121393|ref|YP_050560.1|	gi|188534865|ref|YP_001908662.1|
gi|50121394|ref|YP_050561.1|	gi|188532452|ref|YP_001906249.1|
gi|50121395|ref|YP_050562.1|	gi|188535468|ref|YP_001909265.1|
gi|50121396|ref|YP_050563.1|	gi|188532728|ref|YP_001906525.1|
gi|50121397|ref|YP_050564.1|	gi|188534694|ref|YP_001908491.1|
gi|50121398|ref|YP_050565.1|	gi|188533648|ref|YP_001907445.1|
gi|50121399|ref|YP_050566.1|	gi|188532621|ref|YP_001906418.1|
gi|50121400|ref|YP_050567.1|	gi|188533647|ref|YP_001907444.1|
gi|50121401|ref|YP_050568.1|	gi|188533645|ref|YP_001907442.1|
gi|50121402|ref|YP_050569.1|	gi|188533641|ref|YP_001907438.1|
gi|50121403|ref|YP_050570.1|	gi|188533387|ref|YP_001907184.1|
gi|50121404|ref|YP_050571.1|	gi|188533640|ref|YP_001907437.1|
gi|50121405|ref|YP_050572.1|	gi|188533148|ref|YP_001906945.1|
gi|50121406|ref|YP_050573.1|	gi|188533639|ref|YP_001907436.1|
gi|50121407|ref|YP_050574.1|	gi|188533637|ref|YP_001907434.1|
gi|50121408|ref|YP_050575.1|	gi|188533636|ref|YP_001907433.1|
gi|50121409|ref|YP_050576.1|	gi|188533635|ref|YP_001907432.1|
gi|50121410|ref|YP_050577.1|	gi|188533634|ref|YP_001907431.1|
gi|50121411|ref|YP_050578.1|	gi|188533633|ref|YP_001907430.1|
gi|50121412|ref|YP_050579.1|	gi|188534897|ref|YP_001908694.1|
gi|50121413|ref|YP_050580.1|	gi|188532635|ref|YP_001906432.1|
gi|50121414|ref|YP_050581.1|	gi|188532634|ref|YP_001906431.1|
gi|50121415|ref|YP_050582.1|	gi|188532338|ref|YP_001906135.1|
gi|50121416|ref|YP_050583.1|	gi|188533632|ref|YP_001907429.1|
gi|50121417|ref|YP_050584.1|	gi|188533631|ref|YP_001907428.1|
gi|50121418|ref|YP_050585.1|	gi|188533630|ref|YP_001907427.1|
gi|50121419|ref|YP_050586.1|	gi|188533629|ref|YP_001907426.1|
gi|50121420|ref|YP_050587.1|	gi|188533628|ref|YP_001907425.1|
gi|50121421|ref|YP_050588.1|	gi|188533627|ref|YP_001907424.1|
gi|50121422|ref|YP_050589.1|	gi|188532923|ref|YP_001906720.1|
gi|50121423|ref|YP_050590.1|	gi|188533625|ref|YP_001907422.1|
gi|50121424|ref|YP_050591.1|	gi|188532938|ref|YP_001906735.1|
gi|50121425|ref|YP_050592.1|	gi|188532700|ref|YP_001906497.1|
gi|50121425|ref|YP_050592.1|	gi|188532700|ref|YP_001906497.1|
gi|50121426|ref|YP_050593.1|	gi|188535005|ref|YP_001908802.1|
gi|50121427|ref|YP_050594.1|	gi|188532977|ref|YP_001906774.1|
gi|50121428|ref|YP_050595.1|	gi|188535235|ref|YP_001909032.1|
gi|50121429|ref|YP_050596.1|	gi|188535483|ref|YP_001909280.1|
gi|50121430|ref|YP_050597.1|	gi|188534938|ref|YP_001908735.1|
gi|50121431|ref|YP_050598.1|	gi|188534165|ref|YP_001907962.1|
gi|50121432|ref|YP_050599.1|	gi|188535471|ref|YP_001909268.1|
gi|50121433|ref|YP_050600.1|	gi|188533625|ref|YP_001907422.1|
gi|50121434|ref|YP_050601.1|	gi|188533624|ref|YP_001907421.1|
gi|50121435|ref|YP_050602.1|	gi|188533623|ref|YP_001907420.1|
gi|50121436|ref|YP_050603.1|	gi|188533622|ref|YP_001907419.1|
gi|50121437|ref|YP_050604.1|	gi|188535491|ref|YP_001909288.1|
gi|50121438|ref|YP_050605.1|	gi|188533147|ref|YP_001906944.1|
gi|50121439|ref|YP_050606.1|	gi|188533508|ref|YP_001907305.1|
gi|50121440|ref|YP_050607.1|	gi|188533390|ref|YP_001907187.1|
gi|50121441|ref|YP_050608.1|	gi|188532897|ref|YP_001906694.1|
gi|50121442|ref|YP_050609.1|	gi|188533620|ref|YP_001907417.1|
gi|50121443|ref|YP_050610.1|	gi|188533618|ref|YP_001907415.1|
gi|50121444|ref|YP_050611.1|	gi|188533617|ref|YP_001907414.1|
gi|50121445|ref|YP_050612.1|	gi|188534177|ref|YP_001907974.1|
gi|50121446|ref|YP_050613.1|	gi|188533904|ref|YP_001907701.1|
gi|50121447|ref|YP_050614.1|	gi|188534178|ref|YP_001907975.1|
gi|50121448|ref|YP_050615.1|	gi|188534179|ref|YP_001907976.1|
gi|50121449|ref|YP_050616.1|	gi|188534645|ref|YP_001908442.1|
gi|50121450|ref|YP_050617.1|	gi|188534180|ref|YP_001907977.1|
gi|50121451|ref|YP_050618.1|	gi|188534181|ref|YP_001907978.1|
gi|50121452|ref|YP_050619.1|	gi|188533585|ref|YP_001907382.1|
gi|50121453|ref|YP_050620.1|	gi|188534409|ref|YP_001908206.1|
gi|50121454|ref|YP_050621.1|	gi|188533607|ref|YP_001907404.1|
gi|50121455|ref|YP_050622.1|	gi|188534235|ref|YP_001908032.1|
gi|50121456|ref|YP_050623.1|	gi|188534236|ref|YP_001908033.1|
gi|50121457|ref|YP_050624.1|	gi|188534237|ref|YP_001908034.1|
gi|50121458|ref|YP_050625.1|	gi|188534238|ref|YP_001908035.1|
gi|50121459|ref|YP_050626.1|	gi|188534239|ref|YP_001908036.1|
